0,1697345409688,-0.0002485781999999985,8.698560000000057e-05,-0.0003425838000000129,1
1,1697345409690,-0.0002485781999999985,8.698560000000057e-05,-0.0003425838000000129,1
2,1697345409692,-0.00034607819999999886,9.478560000000108e-05,-0.00011248380000000203,1
3,1697345409695,-0.00034607819999999886,9.478560000000108e-05,-0.00011248380000000203,1
4,1697345409697,-0.00034607819999999886,9.478560000000108e-05,-0.00011248380000000203,1
5,1697345409700,-0.00034607819999999886,9.478560000000108e-05,-0.00011248380000000203,1
6,1697345409702,-0.00032267819999999905,-2.6114399999999094e-05,-0.00012808380000000653,1
7,1697345409704,-0.00032267819999999905,-2.6114399999999094e-05,-0.00012808380000000653,1
8,1697345409707,-0.00032267819999999905,-2.6114399999999094e-05,-0.00012808380000000653,1
9,1697345409709,-0.0003889781999999991,4.4085600000000336e-05,-0.0001865837999999679,1
10,1697345409711,-0.0003889781999999991,4.4085600000000336e-05,-0.0001865837999999679,1
11,1697345409714,-0.0003889781999999991,4.4085600000000336e-05,-0.0001865837999999679,1
12,1697345409745,-0.00032657819999999844,1.6785600000001136e-05,-6.958380000004517e-05,1
13,1697345409748,-0.00032657819999999844,1.6785600000001136e-05,-6.958380000004517e-05,1
14,1697345409786,-0.0002602781999999984,1.6785600000001136e-05,-0.0003152838000000605,1
15,1697345409812,-0.00015497819999999926,5.9685600000001365e-05,-0.0003152838000000605,1
16,1697345409814,-0.00017447819999999795,0.00010648560000000099,-0.0003152838000000605,1
17,1697345409816,-0.00017447819999999795,0.00010648560000000099,-0.0003152838000000605,1
18,1697345409819,-0.00017447819999999795,0.00010648560000000099,-0.0003152838000000605,1
19,1697345409821,-0.0002680781999999989,6.358560000000076e-05,-0.00019828380000002678,1
20,1697345409823,-0.0002680781999999989,6.358560000000076e-05,-0.00019828380000002678,1
21,1697345409826,-0.0002680781999999989,6.358560000000076e-05,-0.00019828380000002678,1
22,1697345409828,-0.00034217819999999774,0.00016108560000000112,-0.00010078380000005417,1
23,1697345409831,-0.00034217819999999774,0.00016108560000000112,-0.00010078380000005417,1
24,1697345409833,-0.00034217819999999774,0.00016108560000000112,-0.00010078380000005417,1
25,1697345409835,-0.00034217819999999774,0.00016108560000000112,-0.00010078380000005417,1
26,1697345409838,-0.0002524781999999979,3.238560000000043e-05,-1.888379999997504e-05,1
27,1697345409840,-0.0002524781999999979,3.238560000000043e-05,-1.888379999997504e-05,1
28,1697345409842,-0.0002524781999999979,3.238560000000043e-05,-1.888379999997504e-05,1
29,1697345409845,-0.0003655781999999993,-8.461439999999862e-05,-0.00020608380000002903,1
30,1697345409847,-0.0003655781999999993,-8.461439999999862e-05,-0.00020608380000002903,1
31,1697345409849,-0.0003655781999999993,-8.461439999999862e-05,-0.00020608380000002903,1
32,1697345409852,-0.00031877819999999793,5.578560000000024e-05,-0.00033478380000001064,1
33,1697345409854,-0.00031877819999999793,5.578560000000024e-05,-0.00033478380000001064,1
34,1697345409857,-0.00031877819999999793,5.578560000000024e-05,-0.00033478380000001064,1
